Y (ang)	el Psi 1
1.500000e+003	1.0735e-010
1.502000e+003	1.0831e-010
1.504000e+003	1.1024e-010
1.506000e+003	1.1316e-010
1.508000e+003	1.1710e-010
1.510000e+003	1.2209e-010
1.512000e+003	1.2819e-010
1.514000e+003	1.3544e-010
1.516000e+003	1.4391e-010
1.518000e+003	1.5369e-010
1.520000e+003	1.6487e-010
1.522000e+003	1.7754e-010
1.524000e+003	1.9182e-010
1.526000e+003	2.0785e-010
1.528000e+003	2.2578e-010
1.530000e+003	2.4577e-010
1.532000e+003	2.6800e-010
1.534000e+003	2.9269e-010
1.536000e+003	3.2007e-010
1.538000e+003	3.5038e-010
1.540000e+003	3.8392e-010
1.542000e+003	4.2099e-010
1.544000e+003	4.6195e-010
1.546000e+003	5.0718e-010
1.548000e+003	5.5709e-010
1.550000e+003	6.1217e-010
1.552000e+003	6.7292e-010
1.554000e+003	7.3993e-010
1.556000e+003	8.1382e-010
1.558000e+003	8.9529e-010
1.560000e+003	9.8511e-010
1.562000e+003	1.0841e-009
1.564000e+003	1.1933e-009
1.566000e+003	1.3136e-009
1.568000e+003	1.4463e-009
1.570000e+003	1.5925e-009
1.572000e+003	1.7538e-009
1.574000e+003	1.9315e-009
1.576000e+003	2.1275e-009
1.578000e+003	2.3435e-009
1.580000e+003	2.5818e-009
1.582000e+003	2.8444e-009
1.584000e+003	3.1341e-009
1.586000e+003	3.4535e-009
1.588000e+003	3.8058e-009
1.590000e+003	4.1943e-009
1.592000e+003	4.6228e-009
1.594000e+003	5.0954e-009
1.596000e+003	5.6168e-009
1.598000e+003	6.1920e-009
1.600000e+003	6.8265e-009
1.602000e+003	7.5265e-009
1.604000e+003	8.2990e-009
1.606000e+003	9.1513e-009
1.608000e+003	1.0092e-008
1.610000e+003	1.1130e-008
1.612000e+003	1.2275e-008
1.614000e+003	1.3540e-008
1.616000e+003	1.4935e-008
1.618000e+003	1.6476e-008
1.620000e+003	1.8177e-008
1.622000e+003	2.0054e-008
1.624000e+003	2.2127e-008
1.626000e+003	2.4416e-008
1.628000e+003	2.6943e-008
1.630000e+003	2.9734e-008
1.632000e+003	3.2817e-008
1.634000e+003	3.6221e-008
1.636000e+003	3.9981e-008
1.638000e+003	4.4134e-008
1.640000e+003	4.8722e-008
1.642000e+003	5.3790e-008
1.644000e+003	5.9390e-008
1.646000e+003	6.5577e-008
1.648000e+003	7.2413e-008
1.650000e+003	7.9967e-008
1.652000e+003	8.8314e-008
1.654000e+003	9.7540e-008
1.656000e+003	1.0774e-007
1.658000e+003	1.1901e-007
1.660000e+003	1.3146e-007
1.662000e+003	1.4523e-007
1.664000e+003	1.6046e-007
1.666000e+003	1.7729e-007
1.668000e+003	1.9590e-007
1.670000e+003	2.1648e-007
1.672000e+003	2.3923e-007
1.674000e+003	2.6439e-007
1.676000e+003	2.9222e-007
1.678000e+003	3.2300e-007
1.680000e+003	3.5705e-007
1.682000e+003	3.9471e-007
1.684000e+003	4.3636e-007
1.686000e+003	4.8245e-007
1.688000e+003	5.3344e-007
1.690000e+003	5.8986e-007
1.692000e+003	6.5228e-007
1.694000e+003	7.2136e-007
1.696000e+003	7.9780e-007
1.698000e+003	8.8241e-007
1.700000e+003	9.7604e-007
1.702000e+003	1.0797e-006
1.704000e+003	1.1944e-006
1.706000e+003	1.3214e-006
1.708000e+003	1.4620e-006
1.710000e+003	1.6177e-006
1.712000e+003	1.7900e-006
1.714000e+003	1.9809e-006
1.716000e+003	2.1922e-006
1.718000e+003	2.4263e-006
1.720000e+003	2.6855e-006
1.722000e+003	2.9725e-006
1.724000e+003	3.2905e-006
1.726000e+003	3.6427e-006
1.728000e+003	4.0329e-006
